"CCN","RPT_NUM","HOSP_NAME","ADDRESS","ZIP","CST_CHRG","NET_REV_CAID","CAID_COST","DIFF_CAID_REV","TOT_UNCOMP_COST","BAD_DEBT","COST_UNCOMP","CHAR_CHRG_UNIN","CHAR_CHRG_TOT","COST_CHAR_UNIN","COST_CHAR_TOT","CHAR_CHRG_INS","COST_CHAR_INS","DISCHRG","DISCHRG_HMO","HOSP_CHRG_INPAT","HOSP_CHRG_OUTPAT","HOSP_CHRG_TOT"
"410005",775944,"OUR LADY OF FATIMA HOSPITAL","200 HIGH SERVICE AVENUE_NORTH PROVIDENCE_RI","02904",0.275185,28044963,40340055,0,1274751,403608,1274751,3966724,4013884,1091583,1138743,47160,47160,793,1310,229060483,319705685,548766168
"440020",775946,"SO TENN REG MED CTR OF PULASKI","1265 EAST COLLEGE_PULASKI_TN","38478",0.127563,3134724,5446315,1902650,3773361,5805970,1870711,8347496,8380050,1064832,1097386,32554,32554,397,402,70582491,141446585,212029076
"450855",775952,"HARLINGEN MEDICAL CENTER","5510 SOUTH EXPRESSWAY_HARLINGEN_TX","78550",0.122997,2399176,11442035,3409077,7733317,4033318,4324240,29488898,29534526,3627046,3672674,45628,45628,971,2165,482109074,432630043,914739117
"460049",775961,"THE ORTHOPEDIC SPECIALTY HOSPITAL","5848 SOUTH 3RD EAST_MURRAY_UT","84107",0.288301,1812912,2016760,0,1338566,1759369,1338566,2116306,2342488,610133,830506,226182,220373,56,102,14851403,165346693,180198096
"500015",775965,"MULTICARE AUBURN MEDICAL CENTER","202 NORTH DIVISION STREET_AUBURN_WA","98001",0.249533,34797478,64021949,29224471,40050090,8330903,10825619,20204595,24572790,4566286,8671464,4368195,4105178,1162,1634,474181011,430339954,904520965
"521337",775968,"ST CROIX REGIONAL MEDICAL CENTER","204 SOUTH ADAMS STREET_ST CROIX FALLS_WI","54024",0.504087,5349201,7147304,1798103,2046924,389321,248821,155755,189565,78514,112324,33810,33810,264,88,12599185,86957247,99556432
"670285",775973,"KINGWOOD EMERGENCY HOSPITAL","23330 HIGHWAY 59 N_KINGWOOD_TX","77339",0.639875,154398,956705,802307,14203156,20905138,13400849,NA,29502,NA,24174,29502,24174,23,NA,2614595,16233066,18847661
"030014",775981,"HONORHEALTH JOHN C. LINCOLN MED CTR","250 EAST DUNLAP_PHOENIX_AZ","85020",0.133551,62156197,105009512,42853315,72342849,37511992,29489534,65761902,81126998,8782568,24147664,15365096,15365096,2848,3139,1464184372,2824740821,4288925193
"030087",775982,"HONORHEALTH SCOTTSDALE SHEA MED CTR","9300 E SHEA BLVD_SCOTTSDALE_AZ","85260",0.150705,32899990,55953353,23053363,42886523,31418916,19833160,33184634,43183908,5001090,15000364,9999274,9999274,6179,2923,2113233855,1790143991,3903377846
"030092",775983,"HONORHEALTH DEER VALLEY MED CTR","19829 N 27TH AVENUE_PHOENIX_AZ","85027",0.134717,35024787,65998131,30973344,64362292,36357441,33388948,60569676,80755398,8159765,28345487,20185722,20185722,3264,3347,1582239084,1058956533,2641195617
"041330",775984,"PIGGOTT COMMUNITY HOSPITAL","1206 HIGHWAY 62_PIGGOTT_AR","72454",0.50918,870243,899277,29034,1470000,2870645,1440966,NA,NA,NA,NA,NA,NA,504,NA,11698171,38769489,50467660
"050723",775985,"KFH - BALDWIN PARK","1011 BALDWIN PARK BLVD_BALDWIN PARK_CA","91706",0.231304,23064300,41795611,18731311,20334550,2845932,1603239,2135393,2586432,493925,944964,451039,451039,390,225,754487803,1483132931,2237620734
"050744",775986,"ANAHEIM GLOBAL MEDICAL CENTER","1025 SOUTH ANAHEIM BOULEVARD_ANAHEIM_CA","92805",0.271236,25191121,42936828,3269597,6509777,10332013,3240180,1471047,1486794,399001,414748,15747,15747,160,213,194093503,100278421,294371924
"050745",775987,"CHAPMAN GLOBAL MEDICAL CENTER","2601 E CHAPMAN AVENUE_ORANGE_CA","92869",0.240356,47094883,61391274,14296167,14772368,1676214,476201,225273,225273,54146,54146,NA,NA,401,175,181123186,51061742,232184928
"050746",775988,"ORANGE COUNTY GLOBAL MEDICAL CENTER","1001 N TUSTIN AVENUE_SANTA ANA_CA","92705",0.221873,57136361,102970870,40952000,46620137,22724507,5668137,2369406,2447819,525707,567099,78413,41392,1238,1391,779406673,253118314,1032524987
"060114",775990,"ADVENTHEALTH PARKER HOSPITAL","9395 CROWN CREST BLVD_PARKER_CO","80138",0.15634,16864427,36211050,15424490,23786973,7742028,8351748,24806121,28073969,3873536,7141359,3267848,3267823,1735,1786,751134607,955332118,1706466725
"100067",775994,"ST. ANTHONYS HOSPITAL","1200 7TH AVENUE NORTH_ST. PETERSBURG_FL","33705",0.180367,15059814,37167552,20127793,48894619,30894552,28750455,111309428,115388567,20076370,22793759,4079139,2717389,4963,5584,1120117222,1206621485,2326738707
"100092",775995,"ROCKLEDGE REGIONAL MEDICAL CENTER","110 LONGWOOD AVENUE_ROCKLEDGE_FL","32955",0.10668,6357291,16101726,9744435,17989765,15253535,8244612,60420512,60646176,6445660,6469734,225664,24074,1772,1634,694053123,800906774,1494959897
"100176",775997,"PALM BEACH GARDENS","3360 BURNS ROAD_PALM BEACH GARDENS_FL","33410",0.076122,4688604,9137735,2400331,9376437,20370965,6597867,61991201,62155036,4718894,4882729,163835,163835,3372,2918,1652565438,953991751,2606557189
"120011",776002,"KFH-HAWAII","3288 MOANALUA ROAD_HONOLULU_HI","96819",0.296334,40946703,51895914,10949211,15397176,1437546,2898960,425322,2772251,126037,2472966,2346929,2346929,404,4147,530418434,802305530,1332723964
"130063",776003,"TREASURE VALLEY HOSPITAL","8800 WEST EMERALD STREET  100_BOISE_ID","83704",0.222754,15581,29426,13845,13845,NA,NA,NA,NA,NA,NA,NA,NA,65,44,19540875,359817759,379358634
"150061",776006,"DAVIESS COMMUNITY HOSPITAL","1314 E. WALNUT STREET_WASHINGTON_IN","47501",0.373829,1806315,16911719,15105404,17173578,4357681,2068174,1025672,1084914,383426,442668,59242,59242,285,117,35925014,127870244,163795258
"190050",776015,"BEAUREGARD MEMORIAL HOSPITAL  INC.","600 S. PINE STREET_DERIDDER_LA","70634",0.249095,13607103,13858816,251713,302039,143789,50326,NA,NA,NA,NA,NA,NA,363,98,27813555,181969503,209783058
"190245",776017,"MONROE SURGICAL HOSPITAL","2408 BROADMOOR BLVD._MONROE_LA","71201",0.237615,1914539,2753685,839146,915002,284984,75856,NA,NA,NA,NA,NA,NA,50,31,4574022,118400634,122974656
"190259",776018,"LAFAYETTE SURGICAL SPECIALTY HOSPITA","1101 KALISTE SALOOM_LAFAYETTE_LA","70508",0.268852,487556,1422016,934460,1058361,457001,123901,NA,NA,NA,NA,NA,NA,110,10,39155755,126685157,165840912
"190313",776019,"NEW ORLEANS EAST HOSPITAL","5620 READ BOULEVARD_NEW ORLEANS_LA","70127",0.260804,18579189,32844591,0,4063427,2635808,4063427,11549476,11974811,3012150,3368219,425335,356069,102,NA,42818258,197216874,240035132
"210060",776021,"FORT WASHINGTON MEDICAL CENTER","11711 LIVINGSTON ROAD_FORT WASHINGTON_MD","20744",0.78706,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,834,NA,36266718,28496192,64762910
"240004",776022,"HENNEPIN COUNTY MEDICAL CENTER","701 PARK AVE P-1_MINNEAPOLIS_MN","55415",0.34821,294206508,287761500,0,70885780,13718801,69318713,184482966,184785841,64238814,64541689,302875,302875,1897,2225,1421714977,1322353267,2744068244
"241369",776023,"UNITED HOSPITAL DISTRICT","515 SOUTH MOORE STREET_BLUE EARTH_MN","56013",0.524471,4178710,6413214,2234504,3339274,960654,1104770,229087,709873,120149,600935,480786,480786,154,NA,10085302,55661457,65746759
"251323",776026,"OCHSNER SCOTT REGIONAL","317 HIGHWAY 13 SOUTH_MORTON_MS","39117",0.597138,1002977,2316227,0,1774539,1708639,1741769,1121502,1215821,655722,744964,94319,89242,65,17,5949914,18825180,24775094
"290005",776030,"NORTH VISTA HOSPITAL","1409 EAST LAKE MEAD BLVD_NORTH LAS VEGAS_NV","89030",0.133468,40932160,46698473,0,8932432,43712983,8932432,19083119,19092011,2546986,2555878,8892,8892,1298,919,453993278,320493609,774486887
"310003",776031,"PALISADES MEDICAL CENTER","7600 RIVER ROAD_NORTH BERGEN_NJ","07047",0.187121,33484026,46022493,0,24628427,18294296,24628427,111255417,111596925,20818225,21092761,341508,274536,1315,1352,464719165,467892594,932611759
"310028",776032,"NEWTON MEDICAL CENTER","175 HIGH ST_NEWTON_NJ","07860",0.105351,19424015,24307767,4382595,8451063,7105422,4068468,27229460,27508713,2868651,3146436,279253,277785,3003,1505,995145664,836270345,1831416009
"310051",776033,"OVERLOOK MEDICAL CENTER","99 BEAUVIOR_SUMMIT_NJ","07902",0.192005,72302224,96467844,20921051,41685956,28499708,20764905,77267931,77520768,14835829,15088517,252837,252688,5559,3602,1854220578,2371998013,4226218591
"310054",776034,"MOUNTAINSIDE HOSPITAL","1 BAY AVENUE_MONTCLAIR_NJ","07042",0.181555,29306281,39464335,0,8814537,16500322,8814537,30747898,30967077,5539235,5748643,219179,209408,2766,1832,665744960,743717614,1409462574
"310113",776035,"SOUTHERN OCEAN MEDICAL CENTER","1140 ROUTE 72 WEST_MANAHAWKIN_NJ","08050",0.17608,19251221,26100110,6771958,11302800,11612524,4530842,13453934,13718771,2232793,2422094,264837,189301,3503,2041,594104890,582261749,1176366639
"321301",776036,"SOCORRO GENERAL HOSPITAL","1202 HIGHWAY 60 WEST_SOCORRO_NM","87801",0.53215,7763479,13406105,4895859,7032699,486560,2136840,2626374,3134112,1397625,1905363,507738,507738,84,85,7465744,52355856,59821600
"330100",776038,"NEW YORK EYE AND EAR INFIRMARY","310 EAST 14TH STREET_NEW YORK_NY","10003",0.270887,20859337,30041931,6739702,10283485,775991,3543783,9928158,10547628,2689409,3308879,619470,619470,2,9,31824422,380358938,412183360
"330106",776039,"NORTH SHORE UNIVERSITY HOSPITAL","300 COMMUNITY DRIVE_MANHASSET_NY","10030",0.189483,220122213,310626038,81173513,108308759,9760029,27110954,61263318,74693307,11608357,25038346,13429989,13429989,13379,9676,7118000681,3241791381,10359792062
"330160",776040,"STATEN ISLAND UNIVERSITY HOSPITAL","475 SEAVIEW AVENUE_STATEN ISLAND_NY","10305",0.259922,174665066,279462162,79586492,103523775,10839588,23937283,51403368,59123947,13360866,21081445,7720579,7720579,8220,8545,2945970374,1784949612,4730919986
"330181",776041,"GLEN COVE HOSPITAL","101 ST. ANDREWS LANE_GLEN COVE_NY","11542",0.2402,14424637,31457174,14785471,20303775,1011856,5518304,16825040,18048271,4041375,5264606,1223231,1223231,1876,763,610181619,261278965,871460584
"330218",776043,"OSWEGO HOSPITAL","110 W SIXTH ST_OSWEGO_NY","13126",0.332145,27240754,29450055,0,1226033,2934477,1205280,84603,286492,28100,229989,201889,201889,762,1023,84349380,245126298,329475678
"330307",776045,"CAYUGA MEDICAL CENTER AT ITHACA","101 DATES DRIVE_ITHACA_NY","14850",0.38792,23629719,37740681,14410732,14967111,748468,556379,536351,626495,205072,294305,90144,89233,1420,1100,152307194,547730826,700038020
"330411",776047,"UNITY SPECIALITY HOSPITAL","89 GENESEE STREET_ROCHESTER_NY","14611",1.020144,2727418,21436543,18709125,18801092,17712,91967,54136,72807,55227,73898,18671,18671,NA,NA,10418264,NA,10418264
"331313",776048,"SCHUYLER HOSPITAL","220 STEUBEN ST_MONTOUR FALLS_NY","14845",0.588739,6677581,12636929,5247164,7892614,379599,2645450,115871,2576037,57146,2457024,2460166,2399878,121,106,20499936,59988959,80488895
"340049",776054,"NORTH CAROLINA SPECIALTY HOSPITAL","3916 BEN FRANKLIN BLVD_DURHAM_NC","27701",0.340245,1956834,2142362,185528,289430,128325,103902,177048,177048,60240,60240,NA,NA,179,54,33477495,143888910,177366405
"340064",776056,"WRMC HOSPITAL OPERATING CORPORATION","1370 WEST D STREET_NORTH WILKESBORO_NC","28659",0.218558,19755810,15115459,0,5242637,12744479,5242637,11060868,11060868,2417441,2417441,NA,NA,821,1374,153741529,334846819,488588348
"340096",776060,"LEXINGTON MEMORIAL HOSPITAL  INC.","250 HOSPITAL DRIVE_LEXINGTON_NC","27292",0.194968,16099797,13888128,0,7135278,19214046,7030960,16623350,16623350,3241021,3241021,NA,NA,616,897,132227923,405410183,537638106
"340098",776062,"ATRIUM HEALTH PINEVILLE","10628 PARK ROAD_CHARLOTTE_NC","28210",0.160717,35796583,34344993,0,26222772,64664148,26222772,105962613,105962613,15723777,15723777,NA,NA,5210,2909,1366850863,1351743537,2718594400
"340109",776064,"SENTARA ALBEMARLE REGL MED CTR LLC","1144 NORTH ROAD STREET_ELIZABETH CITY_NC","27909",0.25325,21872383,20624242,0,10584798,11071343,10583882,24093399,25834174,6101653,7717099,1740775,1615446,1890,1017,196252755,359358045,555610800
"340113",776066,"CAROLINAS MEDICAL CENTER","1000 BLYTHE BLVD_CHARLOTTE_NC","28232",0.209724,435598633,446437843,0,127406900,191993063,127406900,428275886,428275886,86654760,86654760,NA,NA,7926,9371,6085068404,7408113498,13493181902
"340119",776068,"ATRIUM HEALTH STANLY","301 YADKIN STREET_ALBEMARLE_NC","28001",0.178063,15887618,15432622,0,6593245,13084237,6593245,24311600,24311600,4201874,4201874,NA,NA,905,1264,171126924,354231309,525358233
"340130",776070,"ATRIUM HEALTH UNION","600 HOSPITAL DRIVE_MONROE_NC","28111",0.167974,41169097,38097781,0,19854085,46928823,19854085,74877201,74877201,11824984,11824984,NA,NA,2791,3027,629512935,992787527,1622300462
"340145",776071,"ATRIUM HEALTH LINCOLN","433 MCALISTER ROAD_LINCOLNTON_NC","28092",0.158432,18821615,17479597,0,8798500,19303005,8798500,37052616,37052616,5646617,5646617,NA,NA,1120,1502,216993932,461483596,678477528
"340148",776072,"MEDICAL PARK HOSPITAL","1950 SOUTH HAWTHORNE ROAD_WINSTON-SALEM_NC","27103",0.267388,3834008,3995385,1227749,3533555,3321296,2305806,4805199,4925830,1284853,1405484,120631,120631,112,174,24768237,199635308,224403545
"340158",776074,"BRUNSWICK MEDICAL CENTER","240 HOSPITAL DRIVE NE_BOLIVIA_NC","28422",0.187333,16230507,13341388,0,7964545,8207393,7964545,31053701,31607604,5809325,6363228,553903,553903,1572,1013,175199863,405446101,580645964
"340166",776075,"ATRIUM HEALTH UNIVERSITY CITY","8800 NORTH TRYON STREET_CHARLOTTE_NC","28256",0.141099,43520746,37915391,0,22494601,58224527,22494601,106782828,106782828,14208747,14208747,NA,NA,1015,1597,420781429,1029638346,1450419775
"340183",776076,"PRESBYTERIAN HOSPITAL HUNTERSVILLE","10030 GILEAD ROAD_HUNTERSVILLE_NC","28078",0.182563,18098965,13282408,0,9380443,14115494,9380443,32386010,33216717,5909218,6739925,830707,830707,2036,1772,366289121,662179099,1028468220
"341307",776078,"PENDER MEMORIAL HOSPITAL","507 E. FREMONT ST_BURGAW_NC","28425",0.296088,672476,828356,87451,3780837,2059747,3693386,10332907,10355717,3059450,3082260,22810,22810,45,53,13040014,93708298,106748312
"351326",776081,"FIRST CARE HEALTH CENTER","115 VIVIAN STREET_PARK RIVER_ND","58278",0.811308,639692,763669,123977,343107,193753,219130,31367,67856,25448,61937,36489,36489,163,18,4190722,17539072,21729794
"370206",776082,"OKLAHOMA SPINE HOSPITAL","14101 PARKWAY COMMONS DRIVE_OKLAHOMA CITY_OK","73134",0.176643,617405,1166562,549157,845648,1435649,296491,NA,42894,NA,42894,42894,42894,619,267,268713527,113506382,382219909
"380004",776086,"PROVIDENCE ST. VINCENT MEDICAL CTR","9205 SW BARNES RD_PORTLAND_OR","97225",0.385718,86792110,152134695,64214016,79768188,4451945,15554172,25298899,32210635,9758241,13886863,6911736,4128622,4598,6162,1305120157,1033524862,2338645019
"380060",776087,"ADVENTIST MEDICAL CENTER-PORTLAND","10123 SE MARKET STREET_PORTLAND_OR","97216",0.231037,87627162,78755267,0,6660083,5325092,6660083,17341068,18756967,4006428,5348651,1415899,1342223,1407,2488,561405651,827379297,1388784948
"380061",776088,"PROVIDENCE PORTLAND MEDICAL CENTER","4805 NE GLISAN_PORTLAND_OR","97213",0.39502,106859197,162722533,57681383,70848452,4829177,13167069,18867259,25085030,7452945,11372744,6217771,3919799,3088,5440,969927007,1197550709,2167477716
"400115",776090,"HOSPITAL WILMA N VAZQUEZ","#2 KM 39.5_VEGA BAJA_PR","00693",0.321656,NA,NA,0,1789599,950963,314374,NA,NA,NA,NA,NA,NA,195,1221,64019605,35250263,99269868
"400132",776091,"DOCTORS CENTER HOSPITAL CAROLINA","EDIF. JESUS T PINERO AVE. FERNANDEZ_MANATI_PR","00674",0.524626,NA,NA,0,2500358,1456544,735827,NA,NA,NA,NA,NA,NA,227,1728,39152918,24614890,63767808
"430008",776094,"BROOKINGS HEALTH SYSTEM","300 22ND AVENUE_BROOKINGS_SD","57006",0.347753,2499052,3187032,687980,3358638,5948785,2661330,749085,1081128,260497,592540,332043,332043,562,69,36313906,121262823,157576729
"450090",776097,"NORTH TEXAS MEDICAL CENTER","1900 HOSPITAL BOULEVARD_GAINSVILLE_TX","76240",0.27037,4648647,5171731,523084,6245338,2303136,5722254,15210994,16192982,4108097,5090085,981988,981988,463,330,46960576,98745562,145706138
"450834",776100,"THE PHYSICIAN CENTRE","3131 UNIVERSITY DRIVE E._BRYAN_TX","77802",0.250367,31341,62857,31516,85479,208466,53963,NA,NA,NA,NA,NA,NA,217,NA,20922260,72624978,93547238
"450840",776101,"TEXAS HEALTH HOSPITAL ALLEN","1105 N. CENTRAL EXPRESSWAY_ALLEN_TX","75013",0.236039,3680710,5308225,0,10069159,16361967,10069159,25245503,25456971,5958923,6169553,211468,210630,851,855,174832002,275791444,450623446
"450876",776103,"LUBBOCK HEART HOSPITAL","4810 NORTH LOOP 289_LUBBOCK_TX","79416",0.223012,2567789,3566637,998848,4583830,1662079,3584982,2799681,5437968,620584,3185701,2638287,2565117,564,285,126935491,294819183,421754674
"450891",776104,"PRESBYTERIAN PLANO CENTER DIAG SRVCS","6020 W PARKER RD_PLANO_TX","75093",0.284527,280723,282690,1967,1280496,3077653,1278529,894701,1050322,254567,401341,155621,146774,63,42,27224367,195008135,222232502
"451328",776105,"RICELAND MEDICAL CENTER","538 BROADWAY_WINNIE_TX","77665",0.202058,1604368,3505072,3124265,5026421,2621916,1877134,5454730,5477734,1099121,1122125,23004,23004,185,31,4449613,95311763,99761376
"451349",776106,"SWISHER MEMORIAL HEALTHCARE SYSTEM","SWISHER MEMORIAL HEALTHCARE SYSTEM_TULIA_TX","79088",0.781208,1258959,1695706,53335,1364933,452162,1311598,1232538,1232538,958365,958365,NA,NA,32,5,1981548,11993962,13975510
"451370",776108,"TMC BONHAM HOSPITAL","504 LIPSCOMB BLVD_BONHAM_TX","75418",0.222027,1952193,1764576,0,3907951,7962297,3907951,8188978,8528501,1794169,2132116,339523,337947,80,NA,33644668,58423870,92068538
"451376",776110,"LAVACA MEDICAL CENTER","1400 N. TEXANA_HALLETTSVILLE_TX","77964",0.648581,731084,1135621,404537,1511536,517650,1106999,1268250,1274981,765747,772478,6731,6731,240,84,4576597,27651563,32228160
"490063",776116,"INOVA FAIRFAX HOSPITAL","3300 GALLOWS ROAD_FALLS CHURCH_VA","22042",0.353179,253397354,368748933,99777274,206943584,47139855,106924693,216536631,231679903,76476191,90284728,15143272,13808537,11622,4301,3187948094,2850793847,6038741941
"500024",776118,"PROVIDENCE ST. PETER HOSPITAL","413 LILLY ROAD_OLYMPIA_WA","98506",0.223685,48608444,90306396,36834927,47326953,6222753,10492026,25044678,30515150,5602119,8929126,5470472,3327007,4610,4452,1582129603,977671975,2559801578
"531305",776122,"PLATTE COUNTY MEMORIAL HOSPITAL","201 14TH STREET_WHEATLAND_WY","82201",0.717867,918835,2346775,1187943,3534337,1460831,2346394,1842318,1896874,1322539,1373931,54556,51392,173,NA,5017311,30158093,35175404
"670008",776123,"WEBSTER SURGICAL SPECIALTY HOSPITAL","333 N. TEXAS AVENUE_WEBSTER_TX","77598",0.118322,2480,4286,1806,111594,870776,109788,20506,20506,2426,2426,NA,NA,250,NA,74945039,628491581,703436620
"670120",776124,"HOSPITALS OF PROV TRANSMOUNTAIN CAMP","2000 TRANSMOUNTAIN_EL PASO_TX","79911",0.08094,14802482,17640117,1678867,9560326,9893138,7860318,82521632,82817435,6679301,6964435,295803,285134,963,2101,747524749,702633000,1450157749
"673077",776126,"TEXAS REHABILITATION HOSPITAL OF KEL","791 S. MAIN STREET_KELLER_TX","76248",0.468257,NA,NA,0,-4603,NA,-4603,NA,NA,NA,NA,NA,NA,540,103,27449421,NA,27449421
"010065",776131,"RUSSELL MEDICAL CENTER","3316 HIGHWAY 280_ALEXANDER CITY_AL","35010",0.275566,798068,4872677,0,776868,2443113,776868,309663,309663,85333,85333,NA,NA,385,356,32235867,196485420,228721287
"010148",776132,"EVERGREEN MEDICAL CENTER","101 CRESTVIEW AVENUE_EVERGREEN_AL","36401",0.39523,480313,1797208,0,1279877,3236390,1277345,NA,NA,NA,NA,NA,NA,364,283,10146984,23540772,33687756
"031314",776136,"COBRE VALLEY REG. MEDICAL CENTER","5880 S. HOSPITAL DRIVE_GLOBE_AZ","85501",0.373133,22697900,23673978,0,1543517,3930730,1543517,208757,208757,77894,77894,NA,NA,458,NA,66797977,154911649,221709626
"040114",776137,"BAPTIST HEALTH MEDICAL CENTER - LR","9601 BAPTIST HEALTH DRIVE_LITTLE ROCK_AR","72205",0.197168,37563862,75975779,16672585,37707383,15134266,21034798,73469749,79199607,14485883,17741581,5729858,3255698,6803,5669,1968780475,828761533,2797542008
"041333",776138,"SEVIER COUNTY MEDICAL CENTER","960 HWY 71 N_DE QUEEN_AR","71832",1.118026,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,44,NA,1191363,5944538,7135901
"050008",776141,"CPMC-R.K. DAVIES MEDICAL CENTER","601 DUBOCE AVE_SAN FRANCISCO_CA","94117",0.257793,20083815,49458317,29374502,33327411,4033772,3665160,9579692,9705638,2469578,2578869,125946,109291,1094,667,509872426,346813944,856686370
"050014",776142,"SUTTER AMADOR HOSPITAL","200 MISSION BLVD_JACKSON_CA","95642",0.246925,12553632,18816859,339461,2156121,3214472,1790356,3389658,3510851,836991,953814,121193,116823,1028,325,149249432,229923894,379173326
"050058",776144,"GLENDALE MEMORIAL HOSPITAL & HLTH CT","1420 SOUTH CENTRAL AVE_GLENDALE_CA","91204",0.180877,50563103,96381761,19006557,28223390,13912596,8371429,22569889,23778597,4082374,5291082,1208708,1208708,2136,1283,891565728,448801729,1340367457
"050063",776145,"HOLLYWOOD PRESBYTERIAN MEDICAL CNTR","1300 NORTH VERMONT AVENUE_LOS ANGELES_CA","90027",0.258303,176875559,189083115,0,8055544,20694144,8055544,9923965,9929036,2563390,2565039,5071,1649,2167,1544,1091646439,393211629,1484858068
"050073",776146,"KFH - VALLEJO","975 SERRANO DRIVE_VALLEJO_CA","94589",0.246855,27345651,54759151,27413500,29049896,2897073,1634476,1089463,1739843,268939,919319,650380,650380,454,3098,874601447,1209124945,2083726392
"050075",776147,"KFH - OAKLAND","275 W MACARTHUR BLVD_OAKLAND_CA","94611",0.260641,65780478,135886333,70105855,73055888,5047675,2950033,2368992,3385938,617456,1634402,1016946,1016946,1297,7984,2188554568,2054193704,4242748272
"050076",776148,"KFH - SAN FRANCISCO","2425 GEARY BOULEVARD_SAN FRANCISCO_CA","94115",0.27751,20360369,34030862,13670493,14727400,1581776,1050807,731120,1140075,202893,611848,408955,408955,282,4880,1381077450,921411149,2302488599
"050099",776149,"SAN ANTONIO REGIONAL HOSPITAL","999 SAN BERNARDINO ROAD_UPLAND_CA","91786",0.103029,48573058,88737603,40164545,46330230,12641698,6165685,43752122,43754535,4507737,4510150,2413,2413,3153,4527,2026708864,1646215007,3672923871
"050104",776150,"ST FRANCIS MEDICAL CENTER","3630 EAST IMPERIAL HIGHWAY_LYNWOOD_CA","90262",0.169349,127679671,164702776,0,3293677,5988601,3293677,11242476,11306111,1903902,1967537,63635,63635,1810,2045,1303794038,405531667,1709325705
"050121",776152,"ADVENTIST HEALTH HANFORD","115 MALL DRIVE_HANFORD_CA","93230",0.185224,133999418,132376468,0,9906888,9410849,9906888,40683641,42089526,7535587,7974887,1405885,439300,1994,903,529275669,1104924243,1634199912
"050133",776153,"ADVENTIST HEALTH AND RIDEOUT","726 FOURTH STREET_MARYSVILLE_CA","95901",0.195702,95295448,120118642,0,9614506,10491475,9614506,33911354,36252475,6636520,7210620,2341121,574100,4028,1012,1170314131,927371997,2097686128
"050135",776154,"SO CALIF HOSPITAL AT HOLLYWOOD","6245 DELONGPRE AVE_HOLLYWOOD_CA","90028",0.234465,71076652,162524880,14575818,18586055,7275579,4010237,7958302,7973535,1865943,1881176,15233,15233,5472,699,1262796632,173518207,1436314839
"050137",776155,"KFH - PANORAMA CITY","13652 CANTARA STREET_PANORAMA CITY_CA","91402",0.2413,22107787,41075076,18967289,20040554,1549662,1073265,1163192,1581846,280678,699332,418654,418654,249,4709,701653182,1083980209,1785633391
"050417",776164,"SUTTER COAST HOSPITAL","800 E WASHINGTON BLVD_CRESCENT CITY_CA","95531",0.284099,18319173,29424465,2145283,4795723,3251052,2505230,5099279,5189677,1448700,1535487,90398,86787,806,49,121419563,235699897,357119460
"050526",776167,"HUNTINGTON BEACH HOSPITAL","17772 BEACH BLVD_HUNTINGTON BEACH_CA","92647",0.274775,14482127,21469475,10368243,11914724,3988673,1546481,1345489,1345489,369707,369707,NA,NA,662,510,161174016,57199517,218373533
"050528",776168,"MEMORIAL HOSPITAL - LOS BANOS","520 WEST I STREET_LOS BANOS_CA","93635",0.210884,21608845,36368504,1803523,5294049,6387234,3470789,9054827,9189814,1909518,2040233,134987,130715,386,171,93174708,263823296,356998004
"050561",776169,"KFH - WEST LOS ANGELES","6041 CADILLAC  AVENUE_LOS ANGELES_CA","90034",0.238063,30769807,63930950,33161143,35297393,3500069,2136086,3427647,3914500,815996,1302849,486853,486853,462,3986,753940530,1231076961,1985017491
"050580",776170,"LA PALMA INTERCOMMUNITY HOSPITAL","7901 WALKER STREET_LA PALMA_CA","90623",0.256317,13416476,18220603,3396830,5333213,4451266,1936383,2722006,2730159,697696,705849,8153,8153,908,614,141257126,54635422,195892548
"050586",776171,"CHINO VALLEY MEDICAL CENTER","5451 WALNUT AVENUE_CHINO_CA","91710",0.159851,28576969,27647042,0,1564451,8878551,1564451,277706,277706,44392,44392,NA,NA,705,913,215610321,183231606,398841927
"050588",776172,"SAN DIMAS COMMUNITY HOSPITAL","1350 WEST COVINA BLVD_SAN DIMAS_CA","91773",0.180094,25511112,12192398,0,723262,3274386,723262,266739,274240,48038,55539,7501,7501,746,1038,188783324,118667283,307450607
"050604",776173,"KFH- SAN JOSE","250 HOSPITAL PARKWAY_SAN JOSE_CA","95119",0.213569,22135085,33971402,11836317,13290477,3083079,1454160,796961,1422465,170206,795710,625504,625504,392,4950,1018294132,1293451720,2311745852
"050609",776174,"KFH - OC-ANAHEIM","3440 E. LA PALMA AVENUE_ANAHEIM_CA","92806",0.249331,50312766,78313217,28000451,30043394,3460027,2042943,1278147,2139716,318682,1180251,861569,861569,475,9413,1839598302,2018360933,3857959235
"050663",776175,"LOS ANGELES COMMUNITY HOSPITAL","4081 OLYMPIC BLVD_LOS ANGELES_CA","90023",0.237074,127595384,163379038,8837823,10459061,3689777,1621238,2147697,2147797,509163,509263,100,100,2979,93,631656400,57491452,689147852
"050674",776176,"KFH - SOUTH SACRAMENTO","6600 BRUCEVILLE ROAD_SACRAMENTO_CA","95823",0.214085,70800466,130095362,59294896,61442715,5081732,2147819,2140941,2742494,458343,1059896,601553,601553,809,5969,1660541097,1726656734,3387197831
