"ccn","RPT_REC_NUM","S100001_00100_00100","S100001_00200_00100","S100001_00700_00100","S100001_00800_00100","S100001_03100_00100","S100001_02600_00100","S100001_03000_00100","S100001_02000_00100","S100001_02000_00300","S100001_02300_00100","S100001_02300_00300","S100001_02000_00200","S100001_02300_00200","C000001_20200_00600","C000001_20200_00700","C000001_20200_00800","zipcode","hosp_name","address"
"250172",769752,0.312449,222316,295681,NA,340233,NA,340233,1088923,1088923,340233,340233,NA,NA,725277,13218199,13943476,"38668","HIGHLAND HILLS MEDICAL CENTER","401 GETWELL DRIVE_SENATOBIA_MS"
"451318",769784,1.127414,353493,2118321,1764828,2516003,282606,640208,322361,330494,362615,369288,8133,6673,1750439,7799099,9549538,"79502-","STONEWALL MEMORIAL HOSPITAL","HIGHWAY #83 & NORTH WASHINGTON AVE._ASPERMONT_TX"
"310091",769965,0.183676,-4748336,12463267,17211603,17591449,NA,379846,2058106,2059927,378025,379846,1821,1821,82502352,155704243,238206595,"08079","SALEM MEDICAL CENTER","310 WOODSTOWN ROAD_SALEM_NJ"
"131301",770026,0.704285,2480202,3497564,NA,497204,658905,497204,24670,42864,17375,35569,18194,18194,7442890,19476844,26919734,"83805","BOUNDARY COMMUNITY HOSPITAL","6640 KANIKSU_BONNERS FERRY_ID"
"131314",770027,0.510576,1415831,2320064,904233,1910565,1062179,1006332,61095,519354,30495,487683,458259,457188,4709952,26764615,31474567,"83837","SHOSHONE MEDICAL CENTER","25 JACOBS GULCH_KELLOGG_ID"
"440239",770067,0.377982,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27872273,NA,27872273,"38301","SSH WEST TENNESSEE","620 SKYLINE DRIVE  5TH AND 6TH FLOOR_JACKSON_TN"
"501308",770258,0.595727,8949029,9733514,784485,1511393,605486,726908,131374,453448,78263,400337,322074,322074,16038818,43655122,59693940,"99133","COULEE MEDICAL CENTER","411 FORTUYN ROAD_GRAND COULEE_WA"
"140019",770293,0.397971,72148,398810,326662,460171,253329,133509,61899,70919,24634,33654,9020,9020,836108,4448247,5284355,"62565-1899","HSHS GOOD SHEPHERD HOSPITAL","200 SOUTH CEDAR_SHELBYVILLE_IL"
"451375",770316,0.715564,31635,33083,1448,8511834,3917891,8510386,5145431,7202869,3681885,5739323,2057438,2057438,2838956,34648969,37487925,"77575","LIBERTY-DAYTON REGIONAL MEDICAL CENT","1353 NORTH TRAVIS_LIBERTY_TX"
"521352",770319,0.381471,2637943,6147599,3509656,4176981,967187,667325,839048,839048,320072,320072,NA,NA,26992997,144213295,171206292,"53533-","UPLAND HILLS HEALTH","825 S. IOWA STREET_DODGEVILLE_WI"
"050324",770338,0.141769,43476717,74159507,30682790,38006894,12404029,7324104,32705417,34103697,4633190,5497331,1398280,864141,3471635028,1692514827,5164149855,"92037","SCRIPPS MEMORIAL HOSPITAL - LA JOLLA","9888 GENESEE AVENUE_LA JOLLA_CA"
"060054",770348,0.207591,26294176,29008758,2714582,7060798,7332614,4346216,1690829,4139386,351001,2799558,2448557,2448557,177420669,564538469,741959138,"81505","COMMUNITY HOSPITAL","2351 G ROAD_GRAND JUNCTION_CO"
"180009",770404,0.246077,88839867,133015482,NA,13479054,30171415,13479054,20930784,21470872,5150585,5690673,540088,540088,831068177,1619365982,2450434159,"41101-0151","KINGS DAUGHTERS MEDICAL CENTER","2201  LEXINGTON AVENUE_ASHLAND_KY"
"370099",770434,0.198863,2429026,4702231,1088698,1710497,1297468,621799,1692020,1708654,336480,352699,16634,16219,13102160,70077813,83179973,"74023","HILLCREST HOSPITAL CUSHING","1027 EAST CHERRY_CUSHING_OK"
"430090",770445,0.190349,2862396,3031778,169382,718333,1988007,548951,104161,279263,19127,167775,175102,148648,54361632,446753594,501115226,"57105-","SIOUX FALLS SPECIALTY HOSPITAL","910 EAST 20TH STREET_SIOUX FALLS_SD"
"450498",770460,0.527359,1182227,1591664,409437,4270890,127132,3861453,6205616,7329112,3201926,3794412,1123496,592486,2008128,22970742,24978870,"76424-","STEPHENS MEMORIAL HOSPITAL","200 SOUTH GENEVA STREET_BRECKENRIDGE_TX"
"111335",770510,0.211589,4873562,6748251,NA,4241269,17629001,4184634,972090,1119381,205684,352975,147291,147291,27373855,185799786,213173641,"31313","LIBERTY REGIONAL MEDICAL CENTER","462 E. G. MILES PARKWAY_HINESVILLE_GA"
"370002",770582,0.216959,1305894,3991194,2225037,2956698,1485072,731661,1801792,1811871,389742,399821,10079,10079,18965778,73318466,92284244,"73802","ALLIANCEHEALTH WOODWARD","917 17TH STREET_WOODWARD_OK"
"370006",770583,0.108029,2389602,4304636,NA,585511,2094231,585511,3213082,3213082,347106,347106,NA,NA,55905173,117981537,173886710,"74601","PONCA CITY MEDICAL CENTER","1900 N 14TH STREET_PONCA CITY_OK"
"420005",770585,0.155122,5219456,10103439,2925770,8530435,11564594,5604665,23225464,23381004,3602780,3758320,155540,155540,69020769,205382203,274402972,"29536-1327","MCLEOD MEDICAL CENTER - DILLON","301 EAST JACKSON STREET_DILLON_SC"
"420051",770588,0.173358,56559004,89373459,6610536,54892015,69153635,48281479,198247157,199645612,34367731,35766186,1398455,1398455,1706711093,2041296227,3748007320,"59506","MCLEOD REGIONAL MEDICAL CENTER","555 EAST CHEVES STREET_FLORENCE_SC"
"420105",770589,0.148286,14974517,19792779,3290839,16360740,25361788,13069901,58119433,58668445,8618298,9167310,549012,549012,553397184,934523540,1487920724,"29569-","MCLEOD LORIS SEACOAST HOSPITAL","3655 MITCHELL STREET_LORIS_SC"
"420107",770590,0.17412,3673355,7128670,579929,5360034,8480478,4780105,18400703,18458065,3203930,3261292,57362,57362,73175844,179993093,253168937,"29520-","MCLEOD HEALTH CHERAW","HIGHWAY 9 WEST_CHERAW_SC"
"420109",770591,0.171728,6665290,7944034,271870,4973271,8277171,4701401,18137058,18268812,3114641,3246395,131754,131754,79225596,193451888,272677484,"29102","MCLEOD HEALTH CLARENDON","10 HOSPITAL STREET_MANNING_SC"
"440175",770594,0.10011,3718530,5498913,571845,2112596,4990809,1538728,9811231,9811231,982202,982202,NA,NA,111803750,183165432,294969182,"38464","SOUTHERN TN LAWRENCEBURG HOSPITAL","HIGHWAY 43 SOUTH_LAWRENCEBURG_TN"
"050030",770619,0.274737,60133642,90902861,27651302,29112121,247067,1224198,4157179,4157291,1142131,1142243,112,112,433678651,600833843,1034512494,"95965-","OROVILLE HOSPITAL","2767 OLIVE HIGHWAY_OROVILLE_CA"
"180019",770648,0.101135,11526615,11093552,NA,1010675,4229857,1010675,4802488,4802488,485700,485700,NA,NA,103047317,347729336,450776653,"41056-","MEADOWVIEW REGIONAL MEDICAL CENTER","999 WEST HIGHWAY 10_MAYSVILLE_KY"
"370183",770674,0.193937,2441190,4586393,810136,1496189,1381302,686053,1987393,2008220,384484,404106,20827,19622,11762804,82681725,94444529,"74437","HILLCREST HOSPITAL HENRYETTA","DEWEY BARTLETT & MAIN_HENRYETTA_OK"
"400021",770677,0.351742,6,NA,NA,217089,619250,217089,NA,NA,NA,NA,NA,NA,130903112,88315142,219218254,"00683","HOSPITAL DE LA CONCEPCION","CARR. #2 KM 173.4 BO CAIN ALTO_SAN GERMAN_PR"
"450271",770691,0.194809,9764056,9970118,206062,13521140,22660878,13273149,38827005,40096792,7563850,8833637,1269787,1269787,256890846,572840070,829730916,"76234-","DECATUR COMMUNITY HOSPITAL","2000 SOUTH FM #51_DECATUR_TX"
"451374",770693,0.221868,2619992,2937432,NA,4823750,4401438,4813981,11959899,13112727,2653519,3806347,1152828,1152828,10818912,134865062,145683974,"76574-","SCOTT AND WHITE HOSPITAL TAYLOR","305 MALLARD LANE_TAYLOR_TX"
"190025",770750,0.241642,10875004,9974557,NA,604980,1250562,604980,195665,425437,47281,277053,229772,229772,39172775,102942988,142115763,"70554-","SAVOY MEDICAL MANAGEMENT GROUP  INC.","801 POINCIANA AVENUE_MAMOU_LA"
"230071",770754,0.492595,652559,1405721,318409,593688,193179,275279,421578,421578,207667,207667,NA,NA,5362800,26799137,32161937,"48033","STRAITH HOSPITAL FOR SPECIAL SURGERY","23901 LAHSER ROAD_SOUTHFIELD_MI"
"320038",770759,0.332892,7234449,12219932,4777123,5179662,211598,402539,659555,771983,219561,331989,112428,112428,26216457,62756123,88972580,"87301","REHOBOTH MCKINLEY CHRISTIAN HOSPITAL","1901 RED ROCK DRIVE_GALLUP_NM"
"400131",770776,0.398579,NA,NA,NA,478551,1224900,478551,NA,NA,NA,NA,NA,NA,25460469,16384254,41844723,"00738-7006","CARIBBEAN MEDICAL CENTER","AVE OSVALDO MOLINA #151_FAJARDO_PR"
"450518",770782,0.141634,13629096,16421252,NA,12572671,18801570,12548323,69262407,69495707,9789965,9823008,233300,33043,314079575,564416529,878496104,"77640","THE MEDICAL CTR OF SOUTHEAST TEXAS","2555 JIMMY JOHNSON BLVD_PORT ARTHUR_TX"
"250040",770894,0.149789,45785611,42229391,NA,21915326,90393642,21882816,38779609,40852485,5808759,7881635,2072876,2072876,948621635,1533372476,2481994111,"39581","SINGING RIVER HEALTH SYSTEM","2809 DENNY AVENUE_PASCAGOULA_MS"
"450890",770935,0.230655,2024530,2730028,NA,11783746,20570690,11778754,25275501,26428745,5829921,6983165,1153244,1153244,484683068,427672444,912355512,"75093-","BAYLOR S&W MEDICAL CENTER - PLANO","4700 ALLIANCE BLVD_PLANO_TX"
"501321",770942,0.63975,5338631,7435303,2096672,3217056,923584,1120384,549764,759215,351712,561163,209451,209451,7161628,35401991,42563619,"98855-","NORTH VALLEY HOSPITAL","203 SOUTH WESTERN_TONASKET_WA"
"110190",770961,0.63929,5953361,5240936,NA,932377,841676,922616,529815,630291,338705,405168,100476,66463,12536236,898852,13435088,"31063","FLINT RIVER COMMUNITY HOSPITAL","509 SUMTER STREET_MONTEZUMA_GA"
"161350",770975,0.577792,5257272,4248082,NA,445649,576004,445649,201253,201253,116282,116282,NA,NA,4826925,56893308,61720233,"51449-","STEWART MEMORIAL HOSPITAL","1200 WEST MONROE_LAKE CITY_IA"
"260074",770991,0.135174,6602698,8540606,4074476,5278400,3758687,1201456,4719521,4739783,637957,658219,20262,20262,111649548,198604496,310254044,"65270","MOBERLY REGIONAL MEDICAL CENTER","1515 UNION AVENUE_MOBERLY_MO"
"301309",771024,0.503129,172245,351473,NA,4918401,4927124,4918401,4910349,4910349,2470539,2470539,NA,NA,15272252,146891377,162163629,"03458-","MONADNOCK COMMUNITY HOSPITAL","452 OLD STREET ROAD_PETERBOROUGH_NH"
"370220",771032,0.125079,1236529,2020039,783510,881170,510704,97660,NA,30218,NA,30218,30218,30218,22313927,211152725,233466652,"73109","ORTHOPEDIC HOSPITAL","1044 SW 44TH STREET_OKLAHOMA CITY_OK"
"450893",771044,0.169748,72975,142776,NA,1112041,2125831,1112041,3899233,3978163,661887,740817,78930,78930,124079276,200248774,324328050,"76208","THE HEART HOSPITAL BAYLOR DENTON","2801 SOUTH MAYHILL_DENTON_TX"
"111311",771260,0.362637,1,4,3,55714,159175,55711,NA,NA,NA,NA,NA,NA,6092607,23317375,29409982,"30442","JENKINS COUNTY MEDICAL CENTER","931 EAST WINTHORPE AVENUE_MILLEN_GA"
"170145",771313,0.357019,2183346,4824658,1871000,3621132,2756815,1750132,1097075,1472760,391677,767362,375685,375685,18087330,79740317,97827647,"67337-","COFFEYVILLE REG MEDICAL CENTER  INC.","1400 WEST 4TH STREET_COFFEYVILLE_KS"
"180027",771318,0.216131,15234501,19361756,NA,2843715,7355480,2843715,4977555,5074566,1075804,1172815,97011,97011,140787338,366081757,506869095,"42071","MURRAY CALLOWAY COUNTY HOSPITAL","803 POPLAR STREET_MURRAY_KY"
"030117",771469,0.074666,8387499,9392153,NA,855653,6634403,855653,4315892,4315892,322250,322250,NA,NA,106529908,427197175,533727083,"86426-","VALLEY VIEW MEDICAL CENTER","5330 ARIZONA 95_FORT MOHAVE_AZ"
"150042",771506,0.261462,16346949,26800208,10453259,15892830,13393152,5439571,5136749,5722106,1343065,1898817,585357,555752,187548691,460909836,648458527,"47591","GOOD SAMARITAN HOSPITAL","520 SOUTH 7TH STREET_VINCENNES_IN"
"110113",771657,0.102615,1554758,1516554,NA,1481145,2761879,1481145,3543743,4418424,351031,1177456,874681,826425,57520160,406040477,463560637,"30830","BURKE MEDICAL CENTER","351 LIBERTY STREET_WAYNESBORO_GA"
"151304",771681,0.310437,1253378,7341254,6087876,7228675,3501352,1140799,41906,60394,13009,31497,18488,18488,5760032,124259694,130019726,"46173-","RUSH MEMORIAL HOSPITAL","1300 NORTH MAIN STREET_RUSHVILLE_IN"
"161320",771683,0.73312,931034,1004748,73714,225060,179780,151346,27121,27121,19883,19883,NA,NA,2372693,17995400,20368093,"50674-0148","COMMUNITY MEMORIAL HOSPITAL","909 WEST 1ST STREET_SUMNER_IA"
"171370",771687,0.541019,515020,1067290,552270,849765,305283,297495,250913,303637,135749,188473,52724,52724,4703502,32994694,37698196,"67735-","GOODLAND REGIONAL MEDICAL CENTER","220 WEST 2ND STREET_GOODLAND_KS"
"280131",771727,0.201313,683001,772913,89912,353295,917307,263383,NA,84764,NA,78717,84764,78717,53215126,169956800,223171926,"68114-","MIDWEST SURGICAL HOSPITAL","7915 FARNAM DRIVE_OMAHA_NE"
"450825",771761,0.125492,19143671,3995812,NA,54150,154714,54150,NA,NA,NA,NA,NA,NA,36910930,156075674,192986604,"78539-","CORNERSTONE REGIONAL HOSPITAL","2302 CORNERSTONE BLVD._EDINBURG_TX"
"511317",771775,0.251107,13012500,7458615,NA,931037,3516136,925030,147259,154081,36978,42104,6822,5126,14210774,113469184,127679958,"25901-","PLATEAU MEDICAL CENTER","430 MAIN STREET_OAK HILL_WV"
"040051",771788,0.364268,1090124,4022580,499544,1419368,1921081,919824,49387,251471,17990,220074,202084,202084,31778734,49213728,80992462,"71655","DREW MEMORIAL HOSPITAL INC","778 SCROGIN DRIVE_MONTICELLO_AR"
"061300",771799,1.701322,504191,1720965,NA,439144,243684,439144,10049,35890,17097,42938,25841,25841,1787241,4279456,6066697,"81036","WEISBROD MEMORIAL COUNTY HOSPITAL","1208 LUTHER_EADS_CO"
"100071",771805,0.08664,9411857,23269667,10948660,23505485,40204211,12529965,102358785,102420915,8861529,8923659,62130,62130,848947340,884925046,1733872386,"34601","BROOKSVILLE REGIONAL HOSPTAL","17240 CORTEZ BLVD_BROOKSVILLE_FL"
"330223",771863,0.378827,10929027,14046318,3117291,4526631,435820,1409340,557520,1606680,207267,1251121,1049160,1043854,17430860,116049702,133480562,"13662","MASSENA MEMORIAL HOSPITAL","1 HOSPITAL DRIVE_MASSENA_NY"
"371331",771868,0.491559,NA,3201655,3201655,9504258,12869485,6302603,NA,NA,NA,NA,NA,NA,5903864,17415983,23319847,"74030","DRUMRIGHT REGIONAL HOSPITAL","610 WEST BYPASS_DRUMRIGHT_OK"
"430091",771878,0.273757,2928065,2406435,NA,298290,532888,296487,68629,339679,NA,148554,271050,148554,180014725,74397354,254412079,"57701-","BLACK HILLS SURGICAL HOSPITAL LLP","216 ANAMARIA DRIVE_RAPID CITY_SD"
"261313",771993,0.495729,3620338,2968040,NA,655627,1034153,655627,124874,222990,61904,160020,98116,98116,5959258,42641620,48600878,"63552","SAMARITAN MEMORIAL HOSPITAL","1205 N. MISSOURI STREET_MACON_MO"
"370215",772088,0.194597,9902809,13053714,3150905,6789225,14967641,3638320,1066905,1441128,207144,574272,374223,367128,514165159,681208099,1195373258,"73120-","OKLAHOMA HEART HOSPITAL","4050 W MEMORIAL ROAD_OKLAHOMA CITY_OK"
"370234",772089,0.215862,7543006,11015383,3472377,5845194,9085212,2372817,454842,701633,97496,339927,246791,242431,294423117,402351743,696774860,"73135-","OKLAHOMA HEART HOSPITAL SOUTH","5200 EAST I-240 HWY_OKLAHOMA CITY_OK"
"431316",772128,0.629122,962227,871674,NA,713095,1038026,713095,43873,79182,26100,60793,35309,34693,6209900,20534840,26744740,"57469","COMMUNITY MEMORIAL HOSPITAL","111 WEST 10TH AVE_REDFIELD_SD"
"451397",772136,0.16132,5852687,3624606,NA,4986505,6518980,4979002,13825046,15450407,2230256,3855617,1625361,1625361,35158826,185694419,220853245,"77833-","BAYLOR SCOTT & WHITE WMC - BRENHAM","700 MEDICAL PARKWAY_BRENHAM_TX"
"501301",772207,1.705663,1370901,2699826,1328925,1881326,268505,552401,12151,85847,20726,94422,73696,73696,2228622,4537408,6766030,"99347-","GARFIELD MEMORIAL HOSPITAL","NORTH 66 SIXTH STREET_POMEROY_WA"
"250151",772282,0.319886,7666866,6532970,NA,685936,509723,685936,1202400,1336980,384631,519211,134580,134580,71326040,12176615,83502655,"39303","ALLIANCE HEALTH CENTER","5000 HWY 39 NORTH_MERIDIAN_MS"
"360189",772302,0.228281,4628233,8205509,3577276,5319204,5407503,1741928,1262725,1470673,288256,496204,207948,207948,29585933,172046507,201632440,"43140-","MADISON HEALTH","210 NORTH MAIN STREET_LONDON_OH"
"360351",772303,0.20652,6048085,9513417,3465332,4491088,4966858,1025756,NA,NA,NA,NA,NA,NA,172313981,678936357,851250338,"44310","CRYSTAL CLINIC ORTHOPAEDIC CENTER","444 N. MAIN STREET_AKRON_OH"
"451361",772319,0.656321,1277768,1500643,NA,1037223,296979,1037223,1333237,1333237,875031,875031,NA,NA,597473,15084896,15682369,"75948","PREFERRED HOSPITAL LEASING HEMPHILL","2301 STATE HIGHWAY 83W_HEMPHILL_TX"
"061310",772348,0.652808,527541,1930203,1402662,1986372,703104,539490,85681,147635,55933,117887,61954,61954,4722255,16956590,21678845,"80737-","SEDGWICK COUNTY HEALTH CENTER","900 CEDAR STREET_JULESBURG_CO"
"150102",772361,0.204881,4661506,5303274,641768,1065274,994202,423506,1027594,1029823,210534,212763,2229,2229,12615441,76992708,89608149,"46534","STARKE MEMORIAL HOSPITAL","102 EAST CULVER RD_KNOX_IN"
"371307",772384,0.769694,508053,611047,102994,146419,78927,43425,NA,NA,NA,NA,NA,NA,1695783,4375530,6071313,"73933","CIMARRON MEMORIAL HOSPITAL","100 SOUTH ELLIS_BOISE CITY_OK"
"400117",772392,0.42899,NA,NA,NA,1991147,1487724,588968,NA,NA,NA,NA,NA,NA,48427131,40356308,88783439,"00614","HOSPITAL DR. SUSONI","PALMA A 56_ARECIBO_PR"
"400123",772393,0.536276,NA,NA,NA,89742,251988,89742,NA,NA,NA,NA,NA,NA,41699603,44017290,85716893,"00681","METRO MAYAGUEZ","BASORA_MAYAGUEZ_PR"
"010097",772412,0.452706,1145221,1479441,334220,1616960,2531997,1282740,185837,255000,78336,140784,69163,62448,4607980,28953365,33561345,"36092","ELMORE COMMUNITY HOSPITAL","500 HOSPITAL DRIVE_WETUMPKA_AL"
"041304",772415,0.511363,51113,290976,231841,740914,995282,509073,1976,1976,1010,1010,NA,NA,798770,12780876,13579646,"72632","EUREKA SPRINGS HOSPITAL","24 NORRIS STREET_EUREKA SPRINGS_AR"
"100249",772425,0.074574,5720935,12351430,4916626,12131186,31337088,7214560,62317702,62333389,4647280,4662967,15687,15687,810374361,866662896,1677037257,"34428","SEVEN RIVERS REGIONAL MEDICAL CENTER","6201 N. SUNCOAST BLVD_CRYSTAL RIVER_FL"
"171306",772455,1.519852,225887,525227,242801,316377,68207,73576,NA,5338,NA,5338,5338,5338,3118927,4420745,7539672,"67861-","WICHITA COUNTY HEALTH CENTER","211 E EARL_LEOTI_KS"
"171324",772456,1.340261,235753,693085,457332,473817,13569,16485,4747,10120,6362,11735,5373,5373,3986885,6402704,10389589,"67870-","SATANTA DISTRICT HOSPITAL","401 CHEYENNE_SATANTA_KS"
"251320",772483,0.367844,1,NA,NA,57325,163788,57325,NA,NA,NA,NA,NA,NA,14043108,15220767,29263875,"39150","CLAIBORNE COUNTY HOSPITAL","123 MCCOMB AVE_PORT GIBSON_MS"
"254005",772484,0.295953,6224453,6648288,NA,1247661,1474632,1234543,2776225,2776225,792832,792832,NA,NA,69692400,2094793,71787193,"38654","PARKWOOD HOSPITAL","8135 GOODMAN ROAD_OLIVE BRANCH_MS"
"061313",772546,0.595344,2878603,4176507,NA,1237502,1877742,1237502,112259,181401,66833,135975,69142,69142,3993914,29216415,33210329,"80807","KIT CARSON COUNTY MEMORIAL HOSPITAL","286 16TH STREET_BURLINGTON_CO"
"171334",772570,1.196616,108924,454098,345174,707545,342653,362371,NA,NA,NA,NA,NA,NA,3257384,6468311,9725695,"67104","MEDICINE LODGE MEMORIAL HOSPITAL","710 N WALNUT_MEDICINE LODGE_KS"
"271335",772577,0.472966,12700870,12491408,NA,1737399,2937675,1737399,191086,452596,90377,351887,261510,261510,20179251,117598334,137777585,"59711-1999","COMMUNITY HOSPITAL OF ANACONDA","401 WEST PENNSYLVANIA_ANACONDA_MT"
"351319",772585,0.735401,187954,292028,104074,228461,149054,124387,NA,14773,NA,14773,14773,14773,6127353,17660538,23787891,"58220-","PEMBINA COUNTY MEMORIAL HOSPITAL","301 MOUNTAIN ST. EAST_CAVALIER_ND"
"400114",772602,0.408806,NA,NA,NA,473248,1265558,473248,NA,NA,NA,NA,NA,NA,132219005,116370164,248589169,"00701","HOSPITAL DR. ALEJANDRO OTERO","CARRETERA ESTATAL 668_MANATI_PR"
"061314",772628,0.470689,10405325,12297939,NA,3234343,3459707,3234343,253726,1740197,119426,1605897,1486471,1486471,19250302,99274435,118524737,"81625","THE MEMORIAL HOSPITAL","750 HOSPITAL LOOP_CRAIG_CO"
"070039",772629,0.667994,NA,NA,NA,635751,951732,635751,NA,NA,NA,NA,NA,NA,63297974,821464,64119438,"06492","MASONICARE HEALTH CENTER","22 MASONIC AVENUE_WALLINGFORD_CT"
"171309",772650,1.78025,153989,439923,132737,220866,27196,88129,33720,44157,60030,78610,10437,18580,1905358,2686311,4591669,"66956","JEWELL COUNTY HOSPITAL","100 CRESTVUE_MANKATO_KS"
"171310",772651,1.047256,672831,1113903,280370,844320,308728,563950,NA,354884,NA,371654,354884,371654,2339798,12187503,14527301,"67756-","GREAT PLAINS OF CHEYENNE COUNTY  INC","210 W. FIRST STREET_ST. FRANCIS_KS"
"171386",772653,1.158541,26065,99891,73826,655263,514972,581437,NA,NA,NA,NA,NA,NA,262866,1441575,1704441,"67950-0937","MORTON COUNTY HEALTH SYSTEM","13_ELKHART_KS"
"241334",772660,0.500197,913706,1176372,262666,1281208,1189712,1018542,278116,563883,139113,424880,285767,285767,58739589,47670673,106410262,"56082-","RIVERS EDGE HOSPITAL AND CLINIC","1900 N SUNRISE DRIVE_ST. PETER_MN"
"310022",772668,0.116832,107998597,128521181,20522584,29733450,10145125,9210866,64312018,64986656,7513702,7760929,674638,247227,3227521574,3119042594,6346564168,"08043","WEST JERSEY HEALTH SYSTEM","100 BOWMAN DRIVE_VOORHEES_NJ"
"351309",772681,0.802223,1394239,889599,NA,994570,427539,994570,93642,696686,74847,672142,603044,597295,1906199,12007262,13913461,"58257-","SANFORD MAYVILLE","42 6TH AVENUE SE_MAYVILLE_ND"
"380033",772693,0.312334,7136967,14183073,7046106,9376173,1442683,2330067,3878846,4547697,1210118,1877114,668851,666996,41727675,73812559,115540234,"97440-","SACRED HEART MED CTR - UNIVERSITY","1255 HILYARD STREET_EUGENE_OR"
"400120",772698,0.872902,NA,NA,NA,185965,531328,185965,NA,NA,NA,NA,NA,NA,104310604,51596241,155906845,"00726","HOSPITAL HIMA SAN PABLO CAGUAS","AVE MU?OZ MARIN_CAGUAS_PR"
"431311",772703,0.550492,724749,606769,NA,781981,521690,781981,223493,602095,123031,497180,378602,374149,2440621,16829595,19270216,"57274-0489","SANFORD HOSPITAL WEBSTER","1401 W 1ST STREET_WEBSTER_SD"
"460041",772715,0.359815,1300254,3092766,1792512,2369519,NA,577007,1603622,1603622,577007,577007,NA,NA,31366430,68522605,99889035,"84041","HOLY CROSS HOSPITAL - DAVIS","1600 WEST ANTELOPE DRIVE_LAYTON_UT"
"521322",772727,0.537119,3171558,5054959,1883401,2288438,627621,405037,288095,288095,154741,154741,NA,NA,9286379,68550968,77837347,"53813-","GRANT REGIONAL HEALTH CENTER  INC.","507 SOUTH MONROE STREET_LANCASTER_WI"
"041331",772735,0.509369,435250,7000253,6565003,11122256,6156213,4557253,2907272,2907272,1480874,1480874,NA,NA,25884185,97478496,123362681,"72736","OZARKS COMMUNITY HOSPITAL OF GRAVETT","1101 JACKSON ST  SW_GRAVETTE_AR"
"110209",772761,NA,NA,NA,NA,1152799,4372950,1152799,NA,316618,NA,316618,316618,316618,35524800,53309941,88834741,"31768","TURNING POINT HOSPITAL","319 EAST BYPASS_MOULTREE_GA"
"171322",772776,3.064708,601387,2744011,2142624,3312299,401124,1169675,NA,NA,NA,NA,NA,NA,1954725,3129219,5083944,"67878-","HAMILTON COUNTY HOSPITAL","700 N HUSER ST_SYRACUSE_KS"
"230108",772812,0.256054,3430083,8107448,2672832,3264930,844606,592098,1334089,1366395,341599,365678,32306,24079,40137222,176005794,216143016,"49930-","PORTAGE HEALTH SYSTEM","500 CAMPUS DRIVE_HANCOCK_MI"
"250009",772816,0.197349,17087915,9943113,NA,9418302,24138750,9418302,11027864,13388872,2176338,4537346,2361008,2361008,261141658,338561865,599703523,"38834-","MAGNOLIA HOSPITAL","611 ALCORN DRIVE_CORINTH_MS"
"250124",772818,0.258576,2242523,2709257,NA,1997011,918358,1997011,2302286,3463446,595316,1756476,1161160,1161160,7387299,47812987,55200286,"39111","MAGEE GENERAL HOSPITAL","300 S.E. THIRD AVENUE_MAGEE_MS"
"431336",772846,0.376279,1500724,1707699,159465,3890492,2063369,3731027,1134705,3698337,417480,2957523,2563632,2540043,5394328,49825179,55219507,"57069-","SANFORD MEDICAL CENTER VERMILLION","20 SOUTH PLUM STREET_VERMILLION_SD"
"461302",772854,0.572335,4218208,4388215,NA,3620963,4025378,3619840,947977,1721392,542560,1315975,773415,773415,10188300,61856896,72045196,"84532","MOAB REGIONAL HOSPITAL","450 WEST WILLIAMS WAY_MOAB_UT"
"031315",772866,0.394392,3132249,5241706,2109457,4872247,6910098,2762790,28611,60646,10545,38159,32035,27614,9421450,46241388,55662838,"85938","WHITE MOUNTAIN REGIONAL HOSPITAL","118 SOUTH MOUNTAIN RD._SPRINGERVILLE_AZ"
"050257",772868,0.377509,4349635,12492990,3656195,3801539,393924,145344,NA,NA,NA,NA,NA,NA,80800724,10418983,91219707,"93308","GOOD SAMARITAN HOSPITAL-BAKERSFIELD","901 OLIVE DRIVE_BAKERSFIELD_CA"
"060126",772878,0.298821,1256980,3510121,911846,2040237,1534680,1128391,1927904,2124274,576098,667429,196370,91331,44681888,118803818,163485706,"80528","BANNER FORT COLLINS MEDICAL CENTER","4700 LADY MOON DRIVE_FORT COLLINS_CO"
"061322",772880,0.364055,15075398,14942438,NA,2408441,4505472,2408441,373947,1052294,121830,768220,678347,646390,20779214,253043448,273822662,"81201-","HEART OF THE ROCKIES REG MED CENTER","1000 RUSH DRIVE_SALIDA_CO"
"100275",772885,0.082229,16551723,32873948,9127374,19412989,46441857,10023133,71053771,71845207,5842681,5973256,791436,130575,1705640136,951571525,2657211661,"33414-","WELLINGTON REGL MEDICAL CENTER","10101 FOREST HILL BOULEVARD_WEST PALM BEACH_FL"
"130066",772892,0.297401,5959833,6471730,511897,672702,515026,160805,17721,19278,5270,6827,1557,1557,115996361,297294787,413291148,"83854","NORTHWEST SPECIALTY HOSPITAL","1593 E. POLSTON AVENUE_POST FALLS_ID"
"131321",772893,0.844175,1342474,3176938,1834464,2104719,250718,270255,185323,200005,156445,171127,14682,14682,4613386,24326694,28940080,"83522-0137","ST. MARYS HEALTH","701 LEWISTON ST._COTTONWOOD_ID"
